timestamp,object_name,count
2025-09-28 11:01:22,cell phone,1
2025-09-28 11:01:27,cell phone,1
2025-09-28 11:01:32,cell phone,1
2025-09-28 11:01:37,cell phone,1
2025-09-28 11:01:42,cell phone,1
2025-09-28 11:01:47,cell phone,1
2025-09-28 11:01:52,cell phone,1
2025-09-28 11:01:57,cell phone,1
2025-09-28 11:02:02,cell phone,1
2025-09-28 11:02:02,toothbrush,1
2025-09-28 11:02:08,cell phone,1
2025-09-28 11:02:08,toothbrush,1
2025-09-28 11:02:13,cell phone,1
2025-09-28 11:02:13,toothbrush,1
2025-09-28 11:02:13,bottle,1
2025-09-28 11:02:18,cell phone,1
2025-09-28 11:02:18,toothbrush,1
2025-09-28 11:02:18,bottle,1
2025-09-28 11:02:23,cell phone,1
2025-09-28 11:02:23,toothbrush,1
2025-09-28 11:02:23,bottle,1
2025-09-28 11:02:23,banana,1
2025-09-28 11:02:28,cell phone,1
2025-09-28 11:02:28,toothbrush,1
2025-09-28 11:02:28,bottle,1
2025-09-28 11:02:28,banana,1
2025-09-28 11:02:33,cell phone,1
2025-09-28 11:02:33,toothbrush,1
2025-09-28 11:02:33,bottle,1
2025-09-28 11:02:33,banana,1
2025-09-28 11:02:38,cell phone,1
2025-09-28 11:02:38,toothbrush,1
2025-09-28 11:02:38,bottle,1
2025-09-28 11:02:38,banana,1
2025-09-28 11:02:38,cup,1
2025-09-28 11:02:43,cell phone,1
2025-09-28 11:02:43,toothbrush,1
2025-09-28 11:02:43,bottle,1
2025-09-28 11:02:43,banana,1
2025-09-28 11:02:43,cup,1
2025-09-28 11:02:48,cell phone,1
2025-09-28 11:02:48,toothbrush,1
2025-09-28 11:02:48,bottle,1
2025-09-28 11:02:48,banana,1
2025-09-28 11:02:48,cup,1
2025-09-28 11:02:48,pizza,1
2025-09-28 11:02:53,cell phone,1
2025-09-28 11:02:53,toothbrush,1
2025-09-28 11:02:53,bottle,1
2025-09-28 11:02:53,banana,1
2025-09-28 11:02:53,cup,1
2025-09-28 11:02:53,pizza,1
2025-09-28 11:02:53,cake,1
2025-09-28 11:02:58,cell phone,1
2025-09-28 11:02:58,toothbrush,1
2025-09-28 11:02:58,bottle,1
2025-09-28 11:02:58,banana,1
2025-09-28 11:02:58,cup,1
2025-09-28 11:02:58,pizza,1
2025-09-28 11:02:58,cake,1
2025-09-28 11:03:03,cell phone,1
2025-09-28 11:03:03,toothbrush,1
2025-09-28 11:03:03,bottle,1
2025-09-28 11:03:03,banana,1
2025-09-28 11:03:03,cup,1
2025-09-28 11:03:03,pizza,1
2025-09-28 11:03:03,cake,1
2025-09-28 11:03:08,cell phone,1
2025-09-28 11:03:08,toothbrush,1
2025-09-28 11:03:08,bottle,1
2025-09-28 11:03:08,banana,1
2025-09-28 11:03:08,cup,1
2025-09-28 11:03:08,pizza,1
2025-09-28 11:03:08,cake,1
2025-09-28 11:03:13,cell phone,1
2025-09-28 11:03:13,toothbrush,1
2025-09-28 11:03:13,bottle,1
2025-09-28 11:03:13,banana,1
2025-09-28 11:03:13,cup,1
2025-09-28 11:03:13,pizza,1
2025-09-28 11:03:13,cake,1
2025-09-28 11:03:18,cell phone,1
2025-09-28 11:03:18,toothbrush,1
2025-09-28 11:03:18,bottle,1
2025-09-28 11:03:18,banana,1
2025-09-28 11:03:18,cup,1
2025-09-28 11:03:18,pizza,1
2025-09-28 11:03:18,cake,1
2025-09-28 11:03:23,cell phone,1
2025-09-28 11:03:23,toothbrush,1
2025-09-28 11:03:23,bottle,1
2025-09-28 11:03:23,banana,1
2025-09-28 11:03:23,cup,1
2025-09-28 11:03:23,pizza,1
2025-09-28 11:03:23,cake,1
2025-09-28 11:03:28,cell phone,1
2025-09-28 11:03:28,toothbrush,1
2025-09-28 11:03:28,bottle,1
2025-09-28 11:03:28,banana,1
2025-09-28 11:03:28,cup,1
2025-09-28 11:03:28,pizza,1
2025-09-28 11:03:28,cake,1
2025-09-28 11:03:33,cell phone,1
2025-09-28 11:03:33,toothbrush,1
2025-09-28 11:03:33,bottle,1
2025-09-28 11:03:33,banana,1
2025-09-28 11:03:33,cup,1
2025-09-28 11:03:33,pizza,1
2025-09-28 11:03:33,cake,1
2025-09-28 11:03:38,cell phone,1
2025-09-28 11:03:38,toothbrush,1
2025-09-28 11:03:38,bottle,1
2025-09-28 11:03:38,banana,1
2025-09-28 11:03:38,cup,1
2025-09-28 11:03:38,pizza,1
2025-09-28 11:03:38,cake,1
2025-09-28 11:03:43,cell phone,1
2025-09-28 11:03:43,toothbrush,1
2025-09-28 11:03:43,bottle,1
2025-09-28 11:03:43,banana,1
2025-09-28 11:03:43,cup,1
2025-09-28 11:03:43,pizza,1
2025-09-28 11:03:43,cake,1
2025-09-28 11:03:48,cell phone,1
2025-09-28 11:03:48,toothbrush,1
2025-09-28 11:03:48,bottle,1
2025-09-28 11:03:48,banana,1
2025-09-28 11:03:48,cup,1
2025-09-28 11:03:48,pizza,1
2025-09-28 11:03:48,cake,1
